uri,label,parent_label_1,parent_label_2,parent_label_3,label_es
http://purl.org/coar/resource_type/c_7acd,CORRIGENDUM,JOURNAL ARTICLE,JOURNAL,TEXT,CORRIGENDA
http://purl.org/coar/resource_type/c_beb9,DATA PAPER,JOURNAL ARTICLE,JOURNAL,TEXT,ARTÍCULO DE DATOS
http://purl.org/coar/resource_type/c_2df8fbb1,RESEARCH ARTICLE,JOURNAL ARTICLE,JOURNAL,TEXT,ARTÍCULO ORIGINAL
http://purl.org/coar/resource_type/c_dcae04bc,REVIEW ARTICLE,JOURNAL ARTICLE,JOURNAL,TEXT,ARTÍCULO DE REVISIÓN
http://purl.org/coar/resource_type/c_7bab,SOFTWARE PAPER,JOURNAL ARTICLE,JOURNAL,TEXT,ARTÍCULO DE SOFTWARE
http://purl.org/coar/resource_type/c_5794,CONFERENCE PAPER,CONFERENCE PROCEEDINGS,CONFERENCE OUTPUT,TEXT,COMUNICACIÓN DE CONGRESO
http://purl.org/coar/resource_type/c_6670,CONFERENCE POSTER,CONFERENCE PROCEEDINGS,CONFERENCE OUTPUT,TEXT,PÓSTER DE CONGRESO
http://purl.org/coar/resource_type/c_7a1f,BACHELOR THESIS,THESIS,TEXT,NULL,PROYECTO FIN DE CARRERA
http://purl.org/coar/resource_type/c_db06,DOCTORAL THESIS,THESIS,TEXT,NULL,TESIS DOCTORAL
http://purl.org/coar/resource_type/c_bdcc,MASTER THESIS,THESIS,TEXT,NULL,TESIS DE MAESTRÍA
http://purl.org/coar/resource_type/c_ba08,BOOK REVIEW,REVIEW,TEXT,NULL,RESEÑA DE LIBRO
http://purl.org/coar/resource_type/D97F-VB57,COMMENTARY,REVIEW,TEXT,NULL,COMENTARIO
http://purl.org/coar/resource_type/H9BQ-739P,PEER REVIEW,REVIEW,TEXT,NULL,REVISIÓN POR PARES
http://purl.org/coar/resource_type/c_7877,CLINICAL STUDY,REPORT,TEXT,NULL,ESTUDIO CLÍNICO
http://purl.org/coar/resource_type/c_ab20,DATA MANAGEMENT PLAN,REPORT,TEXT,NULL,PLAN DE GESTIÓN DE DATOS
http://purl.org/coar/resource_type/c_18wz,MEMORANDUM,REPORT,TEXT,NULL,MEMORÁNDUM
http://purl.org/coar/resource_type/c_186u,POLICY REPORT,REPORT,TEXT,NULL,MEMORIA DE ACTUACIÓN
http://purl.org/coar/resource_type/c_18op,PROJECT DELIVERABLE,REPORT,TEXT,NULL,ENTREGABLE DE PROYECTO
http://purl.org/coar/resource_type/YZ1N-ZFT9,RESEARCH PROTOCOL,REPORT,TEXT,NULL,PROTOCOLO DE INVESTIGACIÓN
http://purl.org/coar/resource_type/c_18ws,RESEARCH REPORT,REPORT,TEXT,NULL,INFORME CIENTÍFICO
http://purl.org/coar/resource_type/c_18gh,TECHNICAL REPORT,REPORT,TEXT,NULL,INFORME TÉCNICO
http://purl.org/coar/resource_type/c_998f,NEWSPAPER ARTICLE,NEWSPAPER,TEXT,NULL,ARTÍCULO DE PERIÓDICO
http://purl.org/coar/resource_type/c_b239,EDITORIAL,JOURNAL,TEXT,NULL,EDITORIAL
http://purl.org/coar/resource_type/c_6501,JOURNAL ARTICLE,JOURNAL,TEXT,NULL,ARTÍCULO
http://purl.org/coar/resource_type/c_545b,LETTER TO THE EDITOR,JOURNAL,TEXT,NULL,CARTA AL DIRECTOR
http://purl.org/coar/resource_type/c_18cp,CONFERENCE PAPER NOT IN PROCEEDINGS,CONFERENCE OUTPUT,TEXT,NULL,COMUNICACIÓN NO PUBLICADA EN ACTAS DE CONGRESO
http://purl.org/coar/resource_type/c_18co,CONFERENCE POSTER NOT IN PROCEEDINGS,CONFERENCE OUTPUT,TEXT,NULL,PÓSTER NO PUBLICADO EN ACTAS DE CONGRESO
http://purl.org/coar/resource_type/R60J-J5BD,CONFERENCE PRESENTATION,CONFERENCE OUTPUT,TEXT,NULL,PRESENTACIÓN DE CONGRESO
http://purl.org/coar/resource_type/c_f744,CONFERENCE PROCEEDINGS,CONFERENCE OUTPUT,TEXT,NULL,ACTAS DE CONGRESO
http://purl.org/coar/resource_type/c_3248,BOOK PART,BOOK,TEXT,NULL,CAPÍTULO DE LIBRO
http://purl.org/coar/resource_type/c_12ce,VIDEO,MOVING IMAGE,IMAGE,NULL,VÍDEO
http://purl.org/coar/resource_type/c_1162,ANNOTATION,TEXT,NULL,NULL,NOTA DE JURISPRUDENCIA
http://purl.org/coar/resource_type/c_86bc,BIBLIOGRAPHY,TEXT,NULL,NULL,BIBLIOGRAFÍA
http://purl.org/coar/resource_type/c_6947,BLOG POST,TEXT,NULL,NULL,ENTRADA DE BLOG
http://purl.org/coar/resource_type/c_2f33,BOOK,TEXT,NULL,NULL,LIBRO
http://purl.org/coar/resource_type/c_c94f,CONFERENCE OUTPUT,TEXT,NULL,NULL,CONTRIBUCIÓN DE CONGRESO
http://purl.org/coar/resource_type/c_0640,JOURNAL,TEXT,NULL,NULL,REVISTA
http://purl.org/coar/resource_type/c_8544,LECTURE,TEXT,NULL,NULL,PONENCIA
http://purl.org/coar/resource_type/c_0857,LETTER,TEXT,NULL,NULL,CARTA
http://purl.org/coar/resource_type/c_2cd9,MAGAZINE,TEXT,NULL,NULL,REVISTA DIVULGATIVA
http://purl.org/coar/resource_type/c_0040,MANUSCRIPT,TEXT,NULL,NULL,MANUSCRITO
http://purl.org/coar/resource_type/c_18cw,MUSICAL NOTATION,TEXT,NULL,NULL,NOTACIÓN MUSICAL
http://purl.org/coar/resource_type/c_2fe3,NEWSPAPER,TEXT,NULL,NULL,PERIÓDICO
http://purl.org/coar/resource_type/QX5C-AR31,OTHER PERIODICAL,TEXT,NULL,NULL,OTRAS PUBLICACIONES PERIÓDICAS
http://purl.org/coar/resource_type/c_816b,PREPRINT,TEXT,NULL,NULL,ARTÍCULO PRELIMINAR
http://purl.org/coar/resource_type/c_93fc,REPORT,TEXT,NULL,NULL,INFORME
http://purl.org/coar/resource_type/c_baaf,RESEARCH PROPOSAL,TEXT,NULL,NULL,PROPUESTA DE INVESTIGACIÓN
http://purl.org/coar/resource_type/c_efa0,REVIEW,TEXT,NULL,NULL,RESEÑA
http://purl.org/coar/resource_type/c_71bd,TECHNICAL DOCUMENTATION,TEXT,NULL,NULL,DOCUMENTACIÓN TÉCNICA
http://purl.org/coar/resource_type/c_46ec,THESIS,TEXT,NULL,NULL,TESIS
http://purl.org/coar/resource_type/6NC7-GK9S,TRANSCRIPTION,TEXT,NULL,NULL,TRANSCRIPCIÓN
http://purl.org/coar/resource_type/c_8042,WORKING PAPER,TEXT,NULL,NULL,DOCUMENTO DE TRABAJO
http://purl.org/coar/resource_type/c_18cd,MUSICAL COMPOSITION,SOUND,NULL,NULL,COMPOSICIÓN MUSICAL
http://purl.org/coar/resource_type/c_c950,RESEARCH SOFTWARE,SOFTWARE,NULL,NULL,SOFTWARE DE INVESTIGACIÓN
http://purl.org/coar/resource_type/QH80-2R4E,SOURCE CODE,SOFTWARE,NULL,NULL,CÓDIGO FUENTE
http://purl.org/coar/resource_type/C53B-JCY5,DESIGN PATENT,PATENT,NULL,NULL,PATENTE DE DISEÑO
http://purl.org/coar/resource_type/SB3Y-W4EH,PCT APPLICATION,PATENT,NULL,NULL,PCT
http://purl.org/coar/resource_type/Z907-YMBB,PLANT PATENT,PATENT,NULL,NULL,PATENTE DE PLANTAS
http://purl.org/coar/resource_type/GPQ7-G5VE,PLANT VARIETY PROTECTION,PATENT,NULL,NULL,OBTENCIÓN DE VARIEDADES VEGETALES
http://purl.org/coar/resource_type/MW8G-3CR8,SOFTWARE PATENT,PATENT,NULL,NULL,PATENTE DE SOFTWARE
http://purl.org/coar/resource_type/9DKX-KSAF,UTILITY MODEL,PATENT,NULL,NULL,MODELO DE UTILIDAD
http://purl.org/coar/resource_type/c_7ad9,WEBSITE,INTERACTIVE RESOURCE,NULL,NULL,SITIO WEB
http://purl.org/coar/resource_type/c_8a7e,MOVING IMAGE,IMAGE,NULL,NULL,IMAGEN DINÁMICA
http://purl.org/coar/resource_type/c_ecc8,STILL IMAGE,IMAGE,NULL,NULL,IMAGEN FIJA
http://purl.org/coar/resource_type/JBNF-DYAD,INDUSTRIAL DESIGN,DESIGN,NULL,NULL,DISEÑO INDUSTRIAL
http://purl.org/coar/resource_type/BW7T-YM2G,LAYOUT DESIGN,DESIGN,NULL,NULL,TOPOGRAFÍA DE PRODUCTOS SEMICONDUCTORES
http://purl.org/coar/resource_type/ACF7-8YT9,AGGREGATED DATA,DATASET,NULL,NULL,DATOS AGREGADOS
http://purl.org/coar/resource_type/c_cb28,CLINICAL TRIAL DATA,DATASET,NULL,NULL,ENSAYO CLÍNICO
http://purl.org/coar/resource_type/FXF3-D3G7,COMPILED DATA,DATASET,NULL,NULL,DATOS COMPILADOS
http://purl.org/coar/resource_type/AM6W-6QAW,ENCODED DATA,DATASET,NULL,NULL,DATOS CODIFICADOS
http://purl.org/coar/resource_type/63NG-B465,EXPERIMENTAL DATA,DATASET,NULL,NULL,DATOS EXPERIMENTALES
http://purl.org/coar/resource_type/A8F1-NPV9,GENOMIC DATA,DATASET,NULL,NULL,DATOS GENÓMICOS
http://purl.org/coar/resource_type/2H0M-X761,GEOSPATIAL DATA,DATASET,NULL,NULL,DATOS GEOESPACIALES
http://purl.org/coar/resource_type/H41Y-FW7B,LABORATORY NOTEBOOK,DATASET,NULL,NULL,CUADERNO DE LABORATORIO
http://purl.org/coar/resource_type/DD58-GFSX,MEASUREMENT AND TEST DATA,DATASET,NULL,NULL,DATOS DE MEDICIÓN Y PRUEBA
http://purl.org/coar/resource_type/FF4C-28RK,OBSERVATIONAL DATA,DATASET,NULL,NULL,DATOS OBSERVACIONALES
http://purl.org/coar/resource_type/CQMR-7K63,RECORDED DATA,DATASET,NULL,NULL,DATOS REGISTRADOS
http://purl.org/coar/resource_type/W2XT-7017,SIMULATION DATA,DATASET,NULL,NULL,DATOS DE SIMULACIÓN
http://purl.org/coar/resource_type/NHD0-W6SY,SURVEY DATA,DATASET,NULL,NULL,DATOS DE ENCUESTA
http://purl.org/coar/resource_type/c_12cd,MAP,CARTOGRAPHIC MATERIAL,NULL,NULL,MAPA
http://purl.org/coar/resource_type/c_12cc,CARTOGRAPHIC MATERIAL,NULL,NULL,NULL,MATERIAL CARTOGRÁFICO
http://purl.org/coar/resource_type/c_3e5a,CONTRIBUTION TO JOURNAL,NULL,NULL,NULL,CONTRIBUCIÓN A REVISTA
http://purl.org/coar/resource_type/c_ddb1,DATASET,NULL,NULL,NULL,CONJUNTO DE DATOS
http://purl.org/coar/resource_type/542X-3S04,DESIGN,NULL,NULL,NULL,DISEÑO
http://purl.org/coar/resource_type/c_c513,IMAGE,NULL,NULL,NULL,IMAGEN
http://purl.org/coar/resource_type/c_e9a0,INTERACTIVE RESOURCE,NULL,NULL,NULL,RECURSO INTERACTIVO
http://purl.org/coar/resource_type/c_18ww,INTERNAL REPORT,NULL,NULL,NULL,INFORME INTERNO
http://purl.org/coar/resource_type/c_e059,LEARNING OBJECT,NULL,NULL,NULL,OBJETO DE APRENDIZAJE
http://purl.org/coar/resource_type/c_1843,OTHER,NULL,NULL,NULL,OTROS
http://purl.org/coar/resource_type/c_18wq,OTHER TYPE OF REPORT,NULL,NULL,NULL,OTRO TIPO DE INFORME
http://purl.org/coar/resource_type/c_15cd,PATENT,NULL,NULL,NULL,PATENTE
http://purl.org/coar/resource_type/c_2659,PERIODICAL,NULL,NULL,NULL,PUBLICACIÓN PERIÓDICA
http://purl.org/coar/resource_type/c_ba1f,REPORT PART,NULL,NULL,NULL,PARTE DE UN ESTUDIO
http://purl.org/coar/resource_type/c_18hj,REPORT TO FUNDING AGENCY,NULL,NULL,NULL,INFORME A ORGANISMO FINANCIADOR
http://purl.org/coar/resource_type/c_5ce6,SOFTWARE,NULL,NULL,NULL,SOFTWARE
http://purl.org/coar/resource_type/c_18cc,SOUND,NULL,NULL,NULL,SONIDO
http://purl.org/coar/resource_type/c_18cf,TEXT,NULL,NULL,NULL,TEXTO
http://purl.org/coar/resource_type/H6QP-SC1X,TRADEMARK,NULL,NULL,NULL,MARCA
http://purl.org/coar/resource_type/c_393c,WORKFLOW,NULL,NULL,NULL,FLUJO DE TRABAJO
